epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.4398,2.95815,6.1092,2.85751,0,0,0,0,2.83033,6.7645,2.9428,0.00015,0.00015,0.00015
2,132.026,2.79947,5.80789,2.80599,0.00104,0.03636,0.00108,0.00017,2.42348,6.22663,2.60663,0.000294655,0.000294655,0.000294655
3,194.305,2.48083,5.67086,2.49007,0.00153,0.22545,0.02066,0.00292,2.32035,5.97011,2.36006,0.00042347,0.00042347,0.00042347
4,256.502,2.25201,5.41227,2.33073,0.00175,0.34364,0.00187,0.00039,2.09915,5.66446,2.00827,0.000536445,0.000536445,0.000536445
5,318.554,2.26064,5.27897,2.18984,0.00203,0.38,0.00247,0.00087,2.03205,5.83528,1.82992,0.00063358,0.00063358,0.00063358
6,380.566,2.19147,5.19833,2.14145,0.00178,0.33364,0.00343,0.00144,2.01262,6.06193,1.94253,0.000714875,0.000714875,0.000714875
7,441.925,2.18077,5.12893,2.12399,0.00144,0.42545,0.00227,0.0008,2.18077,5.47149,2.27311,0.000703,0.000703,0.000703
8,503.508,2.07736,4.96222,2.06059,0.00266,0.5103,0.00377,0.00116,2.17002,5.24242,2.19398,0.0006535,0.0006535,0.0006535
9,564.823,1.9835,4.88353,1.98058,0.00295,0.52848,0.00651,0.00225,2.27252,5.13707,2.4144,0.000604,0.000604,0.000604
10,626.561,1.89131,4.82924,1.97947,0.00209,0.44697,0.01823,0.00566,2.21782,4.97415,2.53104,0.0005545,0.0005545,0.0005545
11,688.411,1.87688,5.36894,2.00142,0.00343,0.53697,0.03298,0.00807,2.07425,5.11915,2.62928,0.000505,0.000505,0.000505
12,751.03,1.79283,5.14526,2.01135,0.00305,0.55667,0.00454,0.00122,1.8855,5.35234,2.54778,0.0004555,0.0004555,0.0004555
13,812.79,1.74675,5.01181,1.9813,0.40064,0.05455,0.00403,0.00109,1.98417,5.55564,2.6049,0.000406,0.000406,0.000406
14,874.949,1.7417,4.94814,2.01204,0.81042,0.01818,0.01298,0.00415,1.79861,5.9326,2.56665,0.0003565,0.0003565,0.0003565
15,936.972,1.72844,4.82888,2.00124,0.2023,0.14545,0.02693,0.01085,1.47025,5.36426,2.34333,0.000307,0.000307,0.000307
16,999.311,1.63581,4.68638,1.94671,0.00852,0.56333,0.02235,0.00999,1.35358,5.32147,2.22174,0.0002575,0.0002575,0.0002575
17,1060.89,1.64948,4.69627,1.96058,0.00663,0.67667,0.0144,0.00647,1.45671,5.33297,2.20118,0.000208,0.000208,0.000208
18,1121.94,1.62705,4.61632,1.89641,0.01141,0.30515,0.01618,0.00665,1.55515,5.19893,2.2057,0.0001585,0.0001585,0.0001585
19,1182.77,1.53385,4.55935,1.87241,0.00625,0.17879,0.02093,0.00844,1.57409,5.08317,2.15971,0.000109,0.000109,0.000109
20,1243.89,1.55614,4.5024,1.84811,0.00914,0.17879,0.02405,0.00973,1.5311,5.07185,2.12237,5.95e-05,5.95e-05,5.95e-05
